,MAKE_MODEL,ENGINE_TYPE,ENGINE_DISPLACEMENT,TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE,TANK_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION
190,Maserati Quattroporte,V-Type Petrol Engine,3799 cc,Automatic,Petrol,11.76 kmpl,80 Litres,Double Wishbone,Five-Arm Multilink
191,Maserati GranCabrio,V Type Diesel Engine,4691 cc,Automatic,Diesel,10.2 kmpl,75 Litres,Quattroporte Sport GT S is fitted with the single-setting racing-style suspension system,Quattroporte Sport GT S is fitted with the single-setting racing-style suspension system
192,Mclaren GT,M840TE,3994 cc,Automatic,Petrol,N/A,72 Litres,Independent adaptive dampers with Proactive Damping Control,"Dual aluminium wishbones.Comfort,Sport and Track modes"
193,Mclaren 750S,M840T,3994 cc,Automatic,Petrol,N/A,72 Litres,Double Wishbone,Double Wishbone
194,Mercedes-Benz GLA,OM 651 DE 22 LA,1950 cc,Automatic,Diesel,18.9 kmpl,N/A,air suspension,air suspension
195,Mercedes-Benz GLC,OM654M,1993 cc,Automatic,Diesel,N/A,66 Litres,Selective Damping System,Selective Damping System
196,Mercedes-Benz GLS,M177,3982 cc,Automatic,Petrol,N/A,90 Litres,"Double Wishbone, Air Springs, Single-tube Gas-filled Shock Absorber, Stabiliser Bar","Multi-link, Air Springs, Twin-tube Gas-filled Shock Absorbers, Stabiliser Bar"
197,Mercedes-Benz C-Class,OM654M,1993 cc,Automatic,Diesel,N/A,66 Litres,Adaptive Damping System,Adaptive Damping System
198,Mercedes-Benz E-Class,3.0 L in-line 6 cylinder engine,2925 cc,Automatic,Diesel,N/A,80 Litres,Air Suspension,Air Suspension
199,Mercedes-Benz S-Class,M256 engine,2999 cc,Automatic,Petrol,N/A,76 Litres,AIRMATIC suspension,air suspension
200,Mercedes-Benz EQS,N/A,N/A,Automatic,Electric,N/A,N/A,air suspension,air suspension
201,Mercedes-Benz GLE,N/A,2989 cc,Automatic,Diesel,N/A,N/A,N/A,N/A
202,Mercedes-Benz AMG SL,4.0-litre biturbo V8,3982 cc,Automatic,Petrol,N/A,N/A,AMG RIDE CONTROL,AMG RIDE CONTROL
203,Mercedes-Benz EQE SUV,N/A,N/A,Automatic,Electric,N/A,N/A,N/A,N/A
204,Mercedes-Benz EQB,N/A,N/A,Automatic,Electric,N/A,N/A,N/A,N/A
205,Mercedes-Benz AMG C43,2.0L M139l,1991 cc,Automatic,Petrol,N/A,66 Litres,AMG RIDE CONTROL,AMG RIDE CONTROL
206,Mercedes-Benz AMG A 45 S,2.0-litre in line engine,1991 cc,Automatic,Petrol,N/A,51 Litres,AMG Suspension,AMG Suspension
207,Mercedes-Benz Maybach S-Class,V12,5980 cc,Automatic,Petrol,N/A,N/A,AIRMATIC,AIRMATIC
208,Mercedes-Benz AMG GLE 53,3.0-litre 6-cylinder In-lineTurbo Engine,2999 cc,Automatic,Petrol,8.9 kmpl,85 Litres,active roll stabilization intelligent suspension,active roll stabilization intelligent suspension
209,Mercedes-Benz GLB,OM654q,1998 cc,Automatic,Diesel,N/A,52 Litres,N/A,N/A
210,Mercedes-Benz A-Class Limousine,L4 200,1950 cc,Automatic,Diesel,N/A,66 Litres,ADAPTIVE DAMPING,ADAPTIVE DAMPING
211,Mercedes-Benz G-Class,V8,3982 cc,Automatic,Petrol,8.47 kmpl,100 Litres,N/A,N/A
212,Mercedes-Benz AMG E 53 Cabriolet,3.0L inline-6 turbo with mild hybrid,2998 cc,Automatic,Petrol,N/A,66 Litres,4-wheel multilink suspension,4-wheel multilink suspension
213,Mercedes-Benz AMG EQS,N/A,N/A,Automatic,Electric,N/A,N/A,Air Suspension,Air Suspension
214,Mercedes-Benz AMG GLA 35,AMG 35 4MATIC,1991 cc,Automatic,Petrol,N/A,51 Litres,AMG RIDE CONTROL suspension,AMG RIDE CONTROL suspension
215,Mercedes-Benz AMG GT 4 Door Coupe,4.0-litre V8 with twin turbocharger,3982 cc,Automatic,Petrol,N/A,75 Litres,N/A,N/A
216,Mini Cooper Countryman,Petrol Engine,1998 cc,Automatic,Petrol,14.34 kmpl,51 Litres,Single-Link Spring-Strut,Multiple-Control-Arm
217,Mini Cooper 3 DOOR,Petrol Engine,1998 cc,Automatic,Petrol,17.33 kmpl,44 Litres,single joint spring-strut front axle,multiple control-arm rear axle
218,Mini Cooper SE,N/A,N/A,Automatic,Electric,N/A,N/A,N/A,N/A
219,PMV EaS E,N/A,N/A,Automatic,Electric,N/A,N/A,N/A,N/A
220,Porsche 911,EngineType,3996 cc,Automatic,Petrol,N/A,64 Litres,N/A,N/A
221,Porsche Cayenne,3.0-litre turbocharged V6 engine,2894 cc,Automatic,Petrol,10.8 kmpl,75 Litres,Adaptive air suspension with levelling system and height adjustment incl.(PASM),Adaptive air suspension with levelling system and height adjustment incl.(PASM)
222,Porsche Macan,Twin-Turbocharged Engine,2894 cc,Automatic,Petrol,N/A,65 Litres,Double Wishbone,Self-Tracking Trapezoidal Link
223,Porsche 718,naturally aspirated boxer engine,3997 cc,Automatic,Petrol,9.17 kmpl,64 Litres,spring-strut suspension,spring-strut suspension
224,Porsche Panamera,4.0-litre V8 bi-turbo engine,3998 cc,Automatic,Petrol,N/A,50 Litres,adaptive air suspension,adaptive air suspension
225,Porsche Taycan,N/A,N/A,Automatic,Electric,N/A,N/A,Adaptive air suspension,Adaptive air suspension
226,Porsche Cayenne Coupe,3.0-litre turbocharged V6 engine,2894 cc,Automatic,Petrol,N/A,75 Litres,Adaptive air suspension with levelling system and height adjustment incl.(PASM),Adaptive air suspension with levelling system and height adjustment incl.(PASM)
227,Porsche Macan EV,N/A,N/A,Automatic,Electric,N/A,N/A,N/A,N/A
228,Pravaig DEFY,N/A,N/A,Automatic,Electric,N/A,N/A,Independent Double wishbone with adjustable coil overs Suspension,Independent Double wishbone with adjustable coil overs Suspension
229,Rolls-Royce Ghost,EngineType,6750 cc,Automatic,Petrol,N/A,N/A,N/A,N/A
230,Rolls-Royce Phantom,V12 Petrol Engine,6749 cc,Automatic,Petrol,9.8 kmpl,100 Litres,Double Wishbone,Multi Link
231,Rolls-Royce Spectre,N/A,N/A,Automatic,Electric,N/A,N/A,N/A,N/A
232,Rolls-Royce Cullinan,6.75-litre V12 engine,6750 cc,Automatic,Petrol,9.5 kmpl,N/A,N/A,N/A
233,Strom Motors R3,N/A,N/A,Automatic,Electric,N/A,N/A,MacPherson Struct,Dual Shock Absorbers
234,Volvo XC90,Drive-E turbo I4,1969 cc,Automatic,Petrol,17.2 kmpl,68 Litres,Air Suspension,Air Suspension
235,Volvo XC60,Turbo Petrol Engine,1969 cc,Automatic,Petrol,11.2 kmpl,70 Litres,MacPherson Strut,Multi Link
236,Volvo S90,EngineType,1969 cc,Automatic,Petrol,N/A,60 Litres,Air suspension,Air suspension
237,Volvo XC40 Recharge,N/A,N/A,Automatic,Electric,N/A,N/A,sophisticated Suspension,sophisticated Suspension
238,Volvo C40 Recharge,N/A,N/A,Automatic,Electric,N/A,N/A,N/A,N/A
